timestamp,cpu_utility_pct,memory_in_use_pct,disk_active_time_pct,virtual_memory_pct,process_count,disk_queue_length
2026-04-13T16:56:00.025Z,22.27,83.09,0.00,0.53,325,0.00
2026-04-13T16:56:02.036Z,25.28,83.16,0.00,0.53,325,0.00
2026-04-13T16:56:04.046Z,16.25,83.09,0.00,0.53,323,0.00
2026-04-13T16:56:06.046Z,17.09,83.02,0.00,0.53,323,0.00
2026-04-13T16:56:08.050Z,14.35,82.92,0.00,0.53,323,0.00
2026-04-13T16:56:10.051Z,13.44,82.95,0.00,0.53,323,0.00
2026-04-13T16:56:12.054Z,16.16,82.46,0.00,0.53,323,0.00
2026-04-13T16:56:14.062Z,22.64,82.57,0.00,0.53,322,0.00
2026-04-13T16:56:16.072Z,17.76,82.53,0.00,0.53,322,0.00
2026-04-13T16:56:18.085Z,23.42,82.48,0.00,0.53,322,0.00
2026-04-13T16:56:20.096Z,19.27,82.59,0.00,0.53,322,0.00
2026-04-13T16:56:22.102Z,17.33,82.60,0.00,0.53,321,0.00
2026-04-13T16:56:24.113Z,13.87,82.61,0.00,0.53,321,0.00
2026-04-13T16:56:26.114Z,15.57,82.62,0.00,0.53,321,0.00
2026-04-13T16:56:28.121Z,20.35,82.74,0.00,0.53,321,0.00
2026-04-13T16:56:30.127Z,30.47,82.84,0.00,0.53,321,0.00
2026-04-13T16:56:32.131Z,20.13,82.61,0.00,0.59,321,0.00
2026-04-13T16:56:34.136Z,15.15,82.61,0.00,0.59,320,0.00
2026-04-13T16:56:36.137Z,18.69,82.45,0.00,0.59,320,0.00
2026-04-13T16:56:38.137Z,15.93,82.16,0.00,0.59,320,0.00
2026-04-13T16:56:40.140Z,16.05,82.21,0.00,0.59,320,0.00
2026-04-13T16:56:42.150Z,10.97,82.21,0.00,0.59,320,0.00
2026-04-13T16:56:44.156Z,16.65,82.11,0.00,0.59,320,0.00
2026-04-13T16:56:46.158Z,11.62,81.74,0.00,0.59,320,0.00
2026-04-13T16:56:48.173Z,13.52,81.73,0.00,0.59,320,0.00
2026-04-13T16:56:50.187Z,15.22,81.76,0.00,0.59,320,0.00
2026-04-13T16:56:52.202Z,17.19,81.75,0.00,0.59,320,0.00
2026-04-13T16:56:54.209Z,19.19,81.74,0.00,0.59,320,0.00
2026-04-13T16:56:56.210Z,14.26,81.72,0.00,0.59,320,0.00
2026-04-13T16:56:58.212Z,15.76,81.74,0.00,0.59,320,0.00
2026-04-13T16:57:00.225Z,16.96,81.79,0.00,0.59,319,0.00
2026-04-13T16:57:02.233Z,23.83,81.71,0.00,0.59,319,0.00
2026-04-13T16:57:04.236Z,17.42,81.77,0.00,0.59,319,0.00
2026-04-13T16:57:06.247Z,17.78,81.59,0.00,0.59,319,0.00
2026-04-13T16:57:08.253Z,18.72,81.40,0.00,0.59,319,0.00
2026-04-13T16:57:10.258Z,28.28,82.03,0.00,0.59,319,0.00
2026-04-13T16:57:12.265Z,34.42,82.30,0.00,0.59,319,0.00
2026-04-13T16:57:14.272Z,24.18,82.43,0.00,0.59,319,0.00
2026-04-13T16:57:16.275Z,24.96,82.61,0.00,0.59,319,0.00
2026-04-13T16:57:18.288Z,22.56,82.66,0.00,0.59,319,0.00
2026-04-13T16:57:20.295Z,22.86,82.70,0.00,0.59,321,0.00
2026-04-13T16:57:22.301Z,21.41,82.80,0.00,0.59,322,0.00
2026-04-13T16:57:24.307Z,20.04,82.85,0.00,0.59,322,0.00
2026-04-13T16:57:26.317Z,19.89,82.86,0.00,0.59,322,0.00
2026-04-13T16:57:28.322Z,16.67,82.90,0.00,0.59,322,0.00
2026-04-13T16:57:30.328Z,13.66,82.91,0.00,0.59,322,0.00
2026-04-13T16:57:32.340Z,11.41,82.88,0.00,0.59,322,0.00
2026-04-13T16:57:34.349Z,22.44,82.96,0.00,0.59,322,0.00
2026-04-13T16:57:36.360Z,20.36,83.02,0.00,0.59,322,0.00
2026-04-13T16:57:38.361Z,21.07,82.93,0.00,0.59,322,0.00
2026-04-13T16:57:40.363Z,16.31,83.02,0.00,0.59,322,0.00
2026-04-13T16:57:42.366Z,19.22,83.04,0.00,0.59,322,0.00
2026-04-13T16:57:44.366Z,17.67,82.99,0.00,0.59,322,0.00
2026-04-13T16:57:46.371Z,23.20,82.99,0.00,0.59,322,0.00
2026-04-13T16:57:48.381Z,15.73,82.94,0.00,0.59,322,0.00
2026-04-13T16:57:50.388Z,20.97,83.18,0.00,0.59,322,0.00
2026-04-13T16:57:52.391Z,18.34,83.21,0.00,0.59,322,0.00
2026-04-13T16:57:54.398Z,16.95,83.32,0.00,0.59,322,0.00
2026-04-13T16:57:56.410Z,15.99,83.35,0.00,0.59,322,0.00
2026-04-13T16:57:58.417Z,19.62,83.43,0.00,0.59,322,0.00
2026-04-13T16:58:00.421Z,19.96,83.43,0.00,0.59,322,0.00
2026-04-13T16:58:02.429Z,20.99,83.63,0.00,0.59,325,0.00
2026-04-13T16:58:04.438Z,38.13,84.10,0.00,0.59,323,0.00
2026-04-13T16:58:06.446Z,20.43,83.96,0.00,0.59,322,0.00
2026-04-13T16:58:08.446Z,25.64,83.86,0.00,0.59,322,0.00
2026-04-13T16:58:10.447Z,25.01,83.69,0.00,0.59,323,0.00
2026-04-13T16:58:12.449Z,27.35,84.26,0.00,0.59,323,0.00
2026-04-13T16:58:14.461Z,26.02,84.30,0.00,0.59,324,0.00
2026-04-13T16:58:16.470Z,24.16,84.33,0.00,0.59,324,0.00
2026-04-13T16:58:18.479Z,18.27,84.32,0.00,0.59,324,0.00
2026-04-13T16:58:20.490Z,22.25,84.41,0.00,0.59,324,0.00
2026-04-13T16:58:22.504Z,24.69,84.65,0.00,0.59,326,0.00
2026-04-13T16:58:24.505Z,20.35,84.76,0.00,0.59,326,0.00
2026-04-13T16:58:26.518Z,15.30,84.74,0.00,0.59,327,0.00
2026-04-13T16:58:28.526Z,35.53,84.94,0.00,0.59,325,0.00
2026-04-13T16:58:30.542Z,45.43,86.12,0.00,0.59,325,0.00
2026-04-13T16:58:32.551Z,32.08,86.51,0.00,0.59,326,0.00
2026-04-13T16:58:34.563Z,39.70,87.84,0.00,0.59,326,0.00
2026-04-13T16:58:36.576Z,28.80,89.61,0.00,0.59,326,0.00
2026-04-13T16:58:38.578Z,24.11,89.60,0.00,0.59,326,0.00
2026-04-13T16:58:40.588Z,17.14,88.77,0.00,0.59,326,0.00
2026-04-13T16:58:42.597Z,16.60,87.72,0.00,0.59,326,0.00
2026-04-13T16:58:44.611Z,19.74,87.79,0.00,0.59,326,0.00
2026-04-13T16:58:46.613Z,18.40,87.59,0.00,0.59,326,0.00
2026-04-13T16:58:48.621Z,20.09,87.59,0.00,0.59,326,0.00
2026-04-13T16:58:50.636Z,14.20,87.63,0.00,0.59,326,0.00
2026-04-13T16:58:52.650Z,16.74,87.61,0.00,0.59,326,0.00
2026-04-13T16:58:54.660Z,14.00,87.60,0.00,0.59,328,0.00
2026-04-13T16:58:56.665Z,26.24,87.77,0.00,0.59,328,0.00
2026-04-13T16:58:58.667Z,26.00,87.72,0.00,0.59,327,0.00
2026-04-13T16:59:00.673Z,20.28,87.62,0.00,0.59,327,0.00
2026-04-13T16:59:02.679Z,18.63,87.42,0.00,0.59,323,0.00
2026-04-13T16:59:04.685Z,15.46,87.28,0.00,0.59,322,0.00
2026-04-13T16:59:06.688Z,30.12,82.60,0.00,0.64,322,0.00
2026-04-13T16:59:08.690Z,25.00,81.54,0.00,0.64,322,0.00
2026-04-14T15:48:49.865Z,11.21,82.08,0.00,8.06,318,0.00
2026-04-14T15:48:51.865Z,9.68,81.81,0.00,8.06,318,0.00
2026-04-14T15:48:53.878Z,13.07,81.95,0.00,8.06,318,0.00
2026-04-14T15:48:55.891Z,12.95,82.04,0.00,8.06,318,0.00
2026-04-14T15:48:57.897Z,11.45,81.90,0.00,8.06,318,0.00
2026-04-14T15:48:59.906Z,12.68,81.94,0.00,8.06,318,0.00
2026-04-14T15:49:01.917Z,25.48,82.19,0.00,8.06,318,0.00
2026-04-14T15:49:03.920Z,18.14,82.26,0.00,8.06,320,0.00
2026-04-14T15:49:05.932Z,16.37,82.72,0.00,8.06,320,0.00
2026-04-14T15:49:07.947Z,9.26,82.81,0.00,8.06,320,0.00
2026-04-14T15:49:09.961Z,9.81,82.88,0.00,8.06,320,0.00
2026-04-14T15:49:11.962Z,13.46,82.69,0.00,8.06,321,0.00
2026-04-14T15:49:13.967Z,20.42,83.15,0.00,8.06,323,0.00
2026-04-14T15:49:15.971Z,13.25,83.31,0.00,8.06,323,0.00
2026-04-14T15:49:17.982Z,14.31,83.33,0.00,8.06,323,0.00
2026-04-14T15:49:19.983Z,11.26,83.36,0.00,8.06,323,0.00
2026-04-14T15:49:21.993Z,13.50,83.24,0.00,8.06,323,0.00
2026-04-14T15:49:24.004Z,11.64,83.22,0.00,8.06,323,0.00
2026-04-14T15:49:26.012Z,16.20,83.30,0.00,8.06,323,0.00
2026-04-14T15:49:28.026Z,12.34,83.28,0.00,8.06,323,0.00
2026-04-14T15:49:30.039Z,13.87,83.34,0.00,8.06,323,0.00
2026-04-14T15:49:32.040Z,14.77,83.42,0.00,8.06,323,0.00
2026-04-14T15:49:34.055Z,9.57,83.36,0.00,8.06,323,0.00
2026-04-14T15:49:36.070Z,13.81,83.16,0.00,8.06,323,0.00
2026-04-14T15:49:38.085Z,12.13,83.18,0.00,8.06,323,0.00
2026-04-14T15:49:40.094Z,11.89,83.18,0.00,8.06,323,0.00
2026-04-14T15:49:42.109Z,11.75,83.28,0.00,8.06,323,0.00
2026-04-14T15:49:44.118Z,15.78,84.00,0.00,8.06,328,0.00
2026-04-14T15:49:46.132Z,32.88,83.38,0.00,8.06,325,0.00
2026-04-14T15:49:48.136Z,23.87,83.59,0.00,8.06,325,0.00
2026-04-14T15:49:50.150Z,21.98,83.62,0.00,8.06,325,0.00
2026-04-14T15:49:52.166Z,20.21,83.74,0.00,8.06,325,0.00
2026-04-14T15:49:54.166Z,30.39,83.80,0.00,8.06,325,0.00
2026-04-14T15:49:56.176Z,31.10,83.93,0.00,8.06,325,0.00
2026-04-14T15:49:58.187Z,23.39,84.09,0.00,8.06,325,0.00
2026-04-14T15:50:00.188Z,27.29,84.49,0.00,8.06,325,0.00
2026-04-14T15:50:02.194Z,41.59,84.71,0.00,8.06,325,0.00
2026-04-14T15:50:04.209Z,29.94,84.63,0.00,8.06,325,0.00
2026-04-14T15:50:06.221Z,31.06,84.11,0.00,8.06,325,0.00
2026-04-14T15:50:08.231Z,21.93,84.17,0.00,8.06,325,0.00
2026-04-14T15:50:10.231Z,17.75,84.14,0.00,8.06,325,0.00
2026-04-14T15:50:12.242Z,15.06,84.23,0.00,8.06,325,0.00
2026-04-14T15:50:14.246Z,18.02,84.30,0.00,8.06,325,0.00
2026-04-14T15:50:16.259Z,24.90,84.64,0.00,8.06,326,0.00
2026-04-14T15:50:18.264Z,26.35,85.25,0.00,8.06,326,0.00
2026-04-14T15:50:20.269Z,25.39,85.33,0.00,8.06,325,0.00
2026-04-14T15:50:22.271Z,25.08,85.06,0.00,8.06,327,0.00
2026-04-14T15:50:24.278Z,19.27,85.24,0.00,8.06,327,0.00
2026-04-14T15:50:26.284Z,19.53,85.38,0.00,8.06,327,0.00
2026-04-14T15:50:28.293Z,24.87,85.51,0.00,8.06,327,0.00
2026-04-14T15:50:30.305Z,20.10,85.60,0.00,8.06,327,0.00
2026-04-14T15:50:32.317Z,23.90,86.14,0.00,8.06,326,0.00
2026-04-14T15:50:34.329Z,30.26,86.24,0.00,8.06,326,0.00
2026-04-14T15:50:36.335Z,38.86,86.55,0.00,8.06,326,0.00
2026-04-14T15:50:38.346Z,20.94,86.49,0.00,8.06,326,0.00
2026-04-14T15:50:40.351Z,21.71,86.47,0.00,8.06,326,0.00
2026-04-14T15:50:42.367Z,20.50,86.51,0.00,8.06,326,0.00
2026-04-14T15:50:44.375Z,28.02,86.64,0.00,8.06,326,0.00
2026-04-14T15:50:46.383Z,29.11,86.72,0.00,8.06,326,0.00
2026-04-14T15:50:48.384Z,25.64,86.84,0.00,8.06,327,0.00
2026-04-14T15:50:50.385Z,33.49,87.36,0.00,8.06,329,0.00
2026-04-14T15:50:52.385Z,38.24,85.59,0.00,8.06,329,0.00
2026-04-14T15:50:54.392Z,25.49,85.93,0.00,8.06,329,0.00
2026-04-14T15:50:56.397Z,33.59,86.16,0.00,8.06,329,0.00
2026-04-14T15:50:58.397Z,27.47,86.24,0.00,8.06,329,0.00
2026-04-14T15:51:00.400Z,26.43,86.33,0.00,8.06,329,0.00
2026-04-14T15:51:02.405Z,40.85,86.55,0.00,8.06,329,0.00
2026-04-14T15:51:04.409Z,17.66,86.59,0.00,8.06,329,0.00
2026-04-14T15:51:06.420Z,10.87,86.53,0.00,8.06,329,0.00
2026-04-14T15:51:08.430Z,17.10,86.30,0.00,8.06,329,0.00
2026-04-14T15:51:10.441Z,17.37,86.52,0.00,8.06,329,0.00
2026-04-14T15:51:12.446Z,16.86,85.97,0.00,8.06,329,0.00
2026-04-14T15:51:14.449Z,14.24,85.33,0.00,8.06,326,0.00
2026-04-14T16:04:05.182Z,11.32,83.19,0.00,19.89,332,0.00
2026-04-14T16:04:07.183Z,29.75,83.27,0.00,19.89,332,0.00
2026-04-14T16:04:09.191Z,14.61,83.23,0.00,19.89,332,0.00
2026-04-14T16:04:11.193Z,13.28,83.24,0.00,19.89,332,0.00
2026-04-14T16:04:13.197Z,16.74,83.18,0.00,19.89,332,0.00
2026-04-14T16:04:15.204Z,18.57,83.30,0.00,19.89,332,0.00
2026-04-14T16:04:17.217Z,18.80,83.34,0.00,19.89,332,0.00
2026-04-14T16:04:19.224Z,16.12,83.37,0.00,19.89,332,0.00
2026-04-14T16:04:21.240Z,17.72,83.65,0.00,19.89,332,0.00
2026-04-14T16:04:23.252Z,15.91,83.92,0.00,19.89,332,0.00
2026-04-14T16:04:25.267Z,18.57,84.11,0.00,19.89,332,0.00
2026-04-14T16:04:27.278Z,16.92,83.94,0.00,19.89,332,0.00
2026-04-14T16:04:29.287Z,13.09,84.23,0.00,19.89,332,0.00
2026-04-14T16:04:31.296Z,16.81,84.34,0.00,19.89,332,0.00
2026-04-14T16:04:33.309Z,14.78,84.43,0.00,19.89,332,0.00
2026-04-14T16:04:35.309Z,15.63,84.46,0.00,19.89,332,0.00
2026-04-14T16:04:37.314Z,18.63,84.51,0.00,19.89,332,0.00
2026-04-14T16:04:39.327Z,18.74,84.56,0.00,19.89,332,0.00
2026-04-14T16:04:41.335Z,15.04,84.43,0.00,19.89,330,0.00
2026-04-14T16:04:43.342Z,15.22,84.36,0.00,19.89,330,0.00
2026-04-14T16:04:45.348Z,17.87,84.20,0.00,19.89,330,0.00
2026-04-14T16:04:47.356Z,25.61,84.49,0.00,19.89,330,0.00
2026-04-14T16:04:49.356Z,21.82,84.78,0.00,19.89,332,0.00
2026-04-14T16:04:51.365Z,18.25,83.27,0.00,19.89,332,0.00
2026-04-14T16:04:53.376Z,12.34,83.33,0.00,19.89,332,0.00
2026-04-14T16:04:55.391Z,17.18,83.38,0.00,19.89,335,0.00
2026-04-14T16:04:57.395Z,26.41,83.98,0.00,19.89,335,0.00
2026-04-14T16:04:59.396Z,36.43,85.81,0.00,19.89,338,0.00
2026-04-14T16:05:01.397Z,51.60,85.97,0.00,19.89,342,0.00
2026-04-14T16:05:03.398Z,51.77,86.04,0.00,19.89,338,0.00
2026-04-14T16:05:05.399Z,33.82,86.31,0.00,19.89,338,0.00
2026-04-14T16:05:07.413Z,27.23,85.47,0.00,19.89,338,0.00
2026-04-14T16:05:09.428Z,24.71,85.58,0.00,19.89,338,0.00
2026-04-14T16:05:11.443Z,31.71,85.62,0.00,19.89,338,0.00
2026-04-14T16:05:13.457Z,30.65,85.49,0.00,19.89,338,0.00
2026-04-14T16:05:15.460Z,24.59,85.64,0.00,19.89,339,0.00
2026-04-14T16:05:17.471Z,42.54,86.15,0.00,19.89,339,0.00
2026-04-14T16:05:19.485Z,46.56,86.28,0.00,19.89,339,0.00
2026-04-14T16:05:21.497Z,40.34,86.38,0.00,19.89,339,0.00
2026-04-14T16:05:23.504Z,36.55,86.46,0.00,19.89,339,0.00
2026-04-14T16:05:25.511Z,32.57,86.58,0.00,19.89,339,0.00
2026-04-14T16:05:27.518Z,29.21,86.62,0.00,19.89,339,0.00
2026-04-14T16:05:29.529Z,36.39,86.62,0.00,19.89,338,0.00
2026-04-14T16:05:31.544Z,29.78,86.72,0.00,19.89,338,0.00
2026-04-14T16:05:33.549Z,26.88,86.78,0.00,19.89,338,0.00
2026-04-14T16:05:35.555Z,29.66,86.94,0.00,19.89,338,0.00
2026-04-14T16:05:37.565Z,30.37,87.03,0.00,19.89,337,0.00
2026-04-14T16:05:39.571Z,31.94,86.93,0.00,19.89,337,0.00
2026-04-14T16:05:41.584Z,28.31,87.06,0.00,19.89,337,0.00
2026-04-14T16:05:43.597Z,33.12,87.25,0.00,19.89,337,0.00
2026-04-14T16:05:45.603Z,33.80,87.28,0.00,19.89,337,0.00
2026-04-14T16:05:47.617Z,27.50,87.29,0.00,19.89,337,0.00
2026-04-14T16:05:49.624Z,30.83,87.55,0.00,19.89,337,0.00
2026-04-14T16:05:51.635Z,34.94,87.66,0.00,19.89,337,0.00
2026-04-14T16:05:53.637Z,33.14,87.81,0.00,19.86,337,0.00
2026-04-14T16:05:55.648Z,29.32,86.69,0.00,19.86,337,0.00
2026-04-14T16:05:57.662Z,27.80,86.60,0.00,19.86,337,0.00
2026-04-14T16:05:59.674Z,24.05,86.69,0.00,19.86,337,0.00
2026-04-14T16:06:01.690Z,26.94,87.23,0.00,19.86,337,0.00
2026-04-14T16:06:03.695Z,44.02,86.92,0.00,19.86,337,0.00
2026-04-14T16:06:05.695Z,36.57,87.03,0.00,19.86,337,0.00
2026-04-14T16:06:07.700Z,27.68,87.12,0.00,19.86,337,0.00
2026-04-14T16:06:09.702Z,31.06,87.10,0.00,19.86,336,0.00
2026-04-14T16:06:11.717Z,24.23,87.21,0.00,19.86,336,0.00
2026-04-14T16:06:13.729Z,23.86,87.33,0.00,19.86,336,0.00
2026-04-14T16:06:15.738Z,26.65,87.42,0.00,19.86,336,0.00
2026-04-14T16:06:17.746Z,27.72,87.49,0.00,19.86,336,0.00
2026-04-14T16:06:19.747Z,26.01,87.52,0.00,19.86,336,0.00
2026-04-14T16:06:21.758Z,27.65,87.60,0.00,19.86,336,0.00
2026-04-14T16:06:23.758Z,26.91,87.77,0.00,19.86,336,0.00
2026-04-14T16:06:25.761Z,26.24,87.80,0.00,19.86,336,0.00
2026-04-14T16:06:27.775Z,33.61,88.06,0.00,19.86,340,0.00
2026-04-14T16:06:29.789Z,35.76,88.12,0.00,19.86,336,0.00
2026-04-14T16:06:31.803Z,32.53,88.32,0.00,19.86,337,0.00
2026-04-14T16:06:33.802Z,22.69,89.11,0.00,19.86,337,0.00
2026-04-14T16:06:35.803Z,26.16,89.40,0.00,20.22,341,0.00
2026-04-14T16:06:37.806Z,52.09,86.39,0.00,26.23,337,0.00
2026-04-14T16:06:39.820Z,45.58,86.49,0.00,26.23,341,0.00
2026-04-14T16:06:41.827Z,53.71,86.45,0.00,26.23,341,0.00
2026-04-14T16:06:43.837Z,46.83,86.65,0.00,22.59,337,0.00
2026-04-14T16:06:45.845Z,47.16,87.45,0.00,22.59,337,0.00
2026-04-14T16:06:47.851Z,48.59,86.18,0.00,22.59,336,0.00
2026-04-14T16:06:49.858Z,35.78,86.97,0.00,22.43,336,0.00
2026-04-14T16:06:51.872Z,23.07,86.96,0.00,22.41,336,0.00
2026-04-14T16:06:53.876Z,24.32,86.52,0.00,22.41,336,0.00
2026-04-14T16:06:55.891Z,21.36,86.66,0.00,22.41,336,0.00
2026-04-14T16:06:57.894Z,25.62,86.73,0.00,22.41,336,0.00
2026-04-14T16:06:59.905Z,22.87,86.91,0.00,22.41,335,0.00
2026-04-14T16:07:01.905Z,21.48,84.06,0.00,22.41,335,0.00
2026-04-14T16:07:03.910Z,24.50,84.17,0.00,22.41,336,0.00
2026-04-14T16:07:05.924Z,26.21,82.99,0.00,22.40,336,0.00
2026-04-14T16:07:07.928Z,18.92,83.01,0.00,22.40,336,0.00
2026-04-14T16:07:09.938Z,18.88,83.02,0.00,22.40,335,0.00
2026-04-14T16:07:11.942Z,19.31,82.86,0.00,22.40,336,0.00
2026-04-14T16:07:13.948Z,19.87,82.88,0.00,22.40,336,0.00
2026-04-14T16:07:15.961Z,21.77,82.98,0.00,22.40,336,0.00
2026-04-14T16:07:17.967Z,19.66,82.91,0.00,22.40,335,0.00
2026-04-14T16:07:19.979Z,20.34,83.04,0.00,22.40,335,0.00
2026-04-14T16:07:21.979Z,20.83,83.12,0.00,22.33,335,0.00
2026-04-14T16:07:23.992Z,17.40,83.20,0.00,22.33,335,0.00
2026-04-14T16:07:25.997Z,18.01,83.40,0.00,22.33,336,0.00
2026-04-14T16:07:28.010Z,16.97,83.42,0.00,22.33,336,0.00
2026-04-14T16:07:30.018Z,26.09,83.41,0.00,22.33,334,0.00
2026-04-14T16:07:32.025Z,17.52,83.38,0.00,22.33,335,0.00
2026-04-14T16:07:34.028Z,23.02,83.58,0.00,22.33,335,0.00
2026-04-14T16:07:36.037Z,18.01,83.59,0.00,22.33,335,0.00
2026-04-14T16:07:38.042Z,20.13,83.50,0.00,22.33,334,0.00
